source_updated_at,fetched_at,location,district,dico,region,target_date,date_id,risk_index,risk_label,risk_level_order,risk_color,risk_alert,indoor_temperature_c,indoor_temperature_label,indoor_temperature_alert,outdoor_temperature_c,vulnerability_index,source_note,recommendation_summary,source
2026-09-12T17:21:55Z,2026-09-12T17:21:55Z,Matosinhos,Porto,1308,matosinhos,2026-09-12,6a9cbb104698c4065515709b,2,Alto,2,#f89549,TRUE,27.6,Sem alerta,FALSE,28.5,18,A API Clima Extremo não devolve timestamp de atualização nem recomendações preenchidas; source_updated_at corresponde ao momento de recolha.,"Risco alto em edifícios; preparar medidas de proteção para ocupantes vulneráveis, vulnerabilidade 18/24, contexto: sem extremo térmico direto.",CLIMA EXTREMO API municipal risk forecast
2026-09-12T17:21:55Z,2026-09-12T17:21:55Z,Matosinhos,Porto,1308,matosinhos,2026-09-13,6a9f5e104698c406551a08c3,2,Alto,2,#f89549,TRUE,29.6,Alto,TRUE,28.5,18,A API Clima Extremo não devolve timestamp de atualização nem recomendações preenchidas; source_updated_at corresponde ao momento de recolha.,"Risco alto em edifícios; preparar medidas de proteção para ocupantes vulneráveis, vulnerabilidade 18/24, contexto: calor.",CLIMA EXTREMO API municipal risk forecast
2026-09-12T17:21:55Z,2026-09-12T17:21:55Z,Matosinhos,Porto,1308,matosinhos,2026-09-14,6a9f5e104698c406551a08c4,3,Extremo,3,#dc3101,TRUE,28.9,Alto,TRUE,30.4,18,A API Clima Extremo não devolve timestamp de atualização nem recomendações preenchidas; source_updated_at corresponde ao momento de recolha.,"Risco extremo em edifícios; ativar medidas de contingência e acompanhamento ativo dos ocupantes vulneráveis, vulnerabilidade 18/24, contexto: calor.",CLIMA EXTREMO API municipal risk forecast
2026-09-12T17:21:55Z,2026-09-12T17:21:55Z,Matosinhos,Porto,1308,matosinhos,2026-09-15,6aa201104698c406551ea31b,3,Extremo,3,#dc3101,TRUE,29.2,Alto,TRUE,28.2,18,A API Clima Extremo não devolve timestamp de atualização nem recomendações preenchidas; source_updated_at corresponde ao momento de recolha.,"Risco extremo em edifícios; ativar medidas de contingência e acompanhamento ativo dos ocupantes vulneráveis, vulnerabilidade 18/24, contexto: calor.",CLIMA EXTREMO API municipal risk forecast
2026-09-12T17:21:55Z,2026-09-12T17:21:55Z,Matosinhos,Porto,1308,matosinhos,2026-09-16,6aa201104698c406551ea31c,2,Alto,2,#f89549,TRUE,27.3,Sem alerta,FALSE,22,18,A API Clima Extremo não devolve timestamp de atualização nem recomendações preenchidas; source_updated_at corresponde ao momento de recolha.,"Risco alto em edifícios; preparar medidas de proteção para ocupantes vulneráveis, vulnerabilidade 18/24, contexto: sem extremo térmico direto.",CLIMA EXTREMO API municipal risk forecast
2026-09-12T17:21:55Z,2026-09-12T17:21:55Z,Matosinhos,Porto,1308,matosinhos,2026-09-17,6aa3b5004698c40655218ac0,2,Alto,2,#f89549,TRUE,27.5,Sem alerta,FALSE,26.4,18,A API Clima Extremo não devolve timestamp de atualização nem recomendações preenchidas; source_updated_at corresponde ao momento de recolha.,"Risco alto em edifícios; preparar medidas de proteção para ocupantes vulneráveis, vulnerabilidade 18/24, contexto: sem extremo térmico direto.",CLIMA EXTREMO API municipal risk forecast
2026-09-12T17:21:55Z,2026-09-12T17:21:55Z,Matosinhos,Porto,1308,matosinhos,2026-09-18,6aa4a4104698c40655231cca,2,Alto,2,#f89549,TRUE,26.7,Sem alerta,FALSE,26.4,18,A API Clima Extremo não devolve timestamp de atualização nem recomendações preenchidas; source_updated_at corresponde ao momento de recolha.,"Risco alto em edifícios; preparar medidas de proteção para ocupantes vulneráveis, vulnerabilidade 18/24, contexto: sem extremo térmico direto.",CLIMA EXTREMO API municipal risk forecast
