"run_started_at","task","status","started_at_utc","completed_at_utc","message"
"2026-09-11T12:56:03Z","history","ok","2026-09-11T12:56:03Z","2026-09-11T12:56:05Z","Open-Meteo histórico atualizado: 32 linha(s). "
"2026-09-11T12:56:03Z","forecast","ok","2026-09-11T12:56:05Z","2026-09-11T12:56:05Z","Open-Meteo previsão futura atualizada: 16 linha(s). "
"2026-09-11T12:56:03Z","historical-forecast","ok","2026-09-11T12:56:05Z","2026-09-11T12:56:06Z","Open-Meteo arquivo de previsões atualizado: 32 linha(s). "
"2026-09-11T12:56:03Z","previous-runs","ok","2026-09-11T12:56:06Z","2026-09-11T12:56:07Z","Open-Meteo previous runs atualizados: 248 linha(s). "
"2026-09-11T12:56:03Z","errors","ok","2026-09-11T12:56:07Z","2026-09-11T12:56:07Z","Open-Meteo erros calculados: 7734 linha(s). "
